Time,sensor_hu.mean,sensor_mo.mean,sensor_te.mean,test_attendance,Month,Year,Extracted_Time,WeekDay,TimeOfDay,Semester,User_sensor_mo.mean
2/20/2024 16:20,62.0,1,21.5,1,2,2024,16:20,1,1,2,
2/20/2024 16:25,62.0,1,21.5,0,2,2024,16:25,1,1,2,
2/20/2024 16:30,62.5,1,21.5,1,2,2024,16:30,1,1,2,
2/20/2024 16:35,62.5,1,21.5,1,2,2024,16:35,1,1,2,
2/20/2024 16:40,62.5,1,21.5,1,2,2024,16:40,1,1,2,
2/20/2024 16:45,62.5,1,21.5,0,2,2024,16:45,1,1,2,
2/20/2024 16:50,62.5,1,21.5,0,2,2024,16:50,1,1,2,
2/20/2024 16:55,62.5,0,21.5,0,2,2024,16:55,1,1,2,
2/20/2024 17:00,62.5,1,22.0,0,2,2024,17:00,1,2,2,
2/20/2024 17:05,62.0,1,22.0,1,2,2024,17:05,1,2,2,
2/20/2024 17:10,62.0,1,22.0,1,2,2024,17:10,1,2,2,
2/20/2024 17:15,62.0,1,22.0,1,2,2024,17:15,1,2,2,
2/20/2024 17:20,62.0,1,21.5,1,2,2024,17:20,1,2,2,
2/20/2024 17:25,61.5,1,21.5,0,2,2024,17:25,1,2,2,
2/20/2024 17:30,61.5,1,21.5,1,2,2024,17:30,1,2,2,
2/20/2024 17:35,61.5,1,21.5,0,2,2024,17:35,1,2,2,
2/20/2024 17:40,61.5,1,21.0,0,2,2024,17:40,1,2,2,
2/20/2024 17:45,61.5,1,21.0,0,2,2024,17:45,1,2,2,
2/20/2024 17:50,61.5,1,21.0,0,2,2024,17:50,1,2,2,
2/20/2024 17:55,61.0,0,21.0,1,2,2024,17:55,1,2,2,
2/20/2024 18:00,61.0,0,21.0,1,2,2024,18:00,1,2,2,
