Time,sensor_hu.mean,Time.1,sensor_mo.mean,Time.2,sensor_te.mean,Time.3,User_sensor_mo.mean,test_attendance,Month,Year,Extracted_Time,WeekDay,TimeOfDay,Semester
2/20/2024 11:45,62.0,2/20/2024 11:45,1,2/20/2024 11:45,22.5,2/20/2024 11:45,1,0,2,2024,11:45,1,0,2
2/20/2024 11:50,62.0,2/20/2024 11:50,1,2/20/2024 11:50,22.5,2/20/2024 11:50,1,0,2,2024,11:50,1,0,2
2/20/2024 11:55,62.0,2/20/2024 11:55,1,2/20/2024 11:55,22.5,2/20/2024 11:55,0,0,2,2024,11:55,1,0,2
2/20/2024 12:00,62.0,2/20/2024 12:00,1,2/20/2024 12:00,22.5,2/20/2024 12:00,0,0,2,2024,12:00,1,1,2
2/20/2024 12:05,62.0,2/20/2024 12:05,1,2/20/2024 12:05,22.5,2/20/2024 12:05,1,1,2,2024,12:05,1,1,2
2/20/2024 12:10,62.0,2/20/2024 12:10,1,2/20/2024 12:10,22.5,2/20/2024 12:10,1,1,2,2024,12:10,1,1,2
2/20/2024 12:20,62.5,2/20/2024 12:20,1,2/20/2024 12:20,22.0,2/20/2024 12:20,1,1,2,2024,12:20,1,1,2
2/20/2024 12:25,62.5,2/20/2024 12:25,1,2/20/2024 12:25,22.0,2/20/2024 12:25,1,1,2,2024,12:25,1,1,2
2/20/2024 12:30,62.5,2/20/2024 12:30,1,2/20/2024 12:30,22.0,2/20/2024 12:30,1,0,2,2024,12:30,1,1,2
2/20/2024 12:35,62.5,2/20/2024 12:35,1,2/20/2024 12:35,22.5,2/20/2024 12:35,1,1,2,2024,12:35,1,1,2
2/20/2024 12:40,62.5,2/20/2024 12:40,1,2/20/2024 12:40,22.5,2/20/2024 12:40,1,0,2,2024,12:40,1,1,2
2/20/2024 12:45,62.5,2/20/2024 12:45,1,2/20/2024 12:45,22.5,2/20/2024 12:45,1,0,2,2024,12:45,1,1,2
2/20/2024 12:50,62.5,2/20/2024 12:50,1,2/20/2024 12:50,22.5,2/20/2024 12:50,1,0,2,2024,12:50,1,1,2
2/20/2024 12:55,63.0,2/20/2024 12:55,1,2/20/2024 12:55,22.5,2/20/2024 12:55,0,0,2,2024,12:55,1,1,2
2/20/2024 13:00,63.0,2/20/2024 13:00,0,2/20/2024 13:00,23.0,2/20/2024 13:00,0,1,2,2024,13:00,1,1,2
